nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,Alamat
Bihun goreng Ayam,23800,Main Course,gurih asin  bihun telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Mie goreng Ayam,26600,Main Course,gurih asin  mie ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Nasi Goreng Ayam,26600,Main Course,gurih asin   nasi ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kwetiau goreng Baso,23800,Main Course,gurih asin   kwetiau bakso,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kwetiua goreng Ayam,23800,Main Course,gurih asin   kwetiau ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Cap cay Goreng,33300,Main Course,gurih asin  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Mie goreng Baso,26600,Main Course,gurih asin  mie bakso,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Nasi Goreng Sayur,23800,Main Course,gurih asin  nasi sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Ayam goreng Mentega,38000,Main Course,gurih asin  manis   ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Ijo Saus Padang,35000,Main Course,gurih asin  pedas   kerang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Ayam Rica Rica,38000,Main Course,gurih asin  pedas  ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Sapo Tahu Ayam,32000,Main Course,gurih asin    tahu ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Fuyung Hay Ayam,35000,Main Course,gurih asin  manis   telur ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Capcay Kuah Ayam,33300,Main Course,gurih asin    sayur ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kangkung Cah,23000,Main Course,gurih asin   sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
